?????style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,402,116580,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq, Enabled, Servo time, Wait time, 1:Angle, 2:Angle, 3:Angle, 4:Angle, 5:Angle, 6:Angle, 7:Angle, 8:Angle, 9:Angle, 10:Angle, 11:Angle, 12:Angle, 13:Angle, 14:Angle, 15:Angle, 16:Angle, 1:LED, 2:LED, 3:LED, 4:LED, 5:LED, 6:LED, 7:LED, 8:LED, 9:LED, 10:LED, 11:LED, 12:LED, 13:LED, 14:LED, 15:LED, 16:LED, Head LED, MP3 folder, MP3 file, MP3 volume
124,1,980,1000,70,148,199,110,139,146,121,91,200,110,120,120,148,41,130,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
125,1,440,460,134,118,174,110,50,67,120,100,200,110,120,120,140,40,130,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
126,1,440,460,134,118,174,110,50,67,120,100,200,110,120,120,140,40,130,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
127,1,440,460,57,144,139,109,22,100,120,100,200,111,120,120,138,42,128,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
128,1,440,460,131,144,139,187,17,100,120,100,200,110,120,120,140,40,130,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
129,1,220,220,57,144,139,187,23,100,120,100,200,110,120,120,140,44,130,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
130,1,220,220,93,144,195,140,22,48,120,79,209,89,120,120,161,38,144,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
131,1,220,240,57,144,139,187,23,100,120,100,200,110,120,120,140,44,130,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
132,1,220,220,93,144,195,140,22,48,120,79,209,89,120,120,161,38,144,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
133,1,220,240,57,144,139,187,23,100,120,100,200,110,120,120,140,44,130,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
134,1,220,220,93,144,195,140,22,48,120,79,209,89,120,120,161,38,144,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
135,1,220,220,134,118,174,110,50,67,120,100,200,110,120,120,140,40,130,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
136,1,220,240,130,28,123,167,17,38,120,100,200,110,120,120,140,43,130,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
137,1,220,220,130,7,95,195,17,24,120,100,200,110,120,120,140,44,127,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
138,1,220,240,130,28,123,167,17,38,120,100,200,110,120,120,140,43,130,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
139,1,220,220,130,7,95,195,17,24,120,100,200,110,120,120,140,44,127,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
